SUBSCRIPTION_ID,RELATIONSHIP_STRENGTH,SENTIMENT,NPS_SCORE,IS_DELINQUENT,NUMBER_OF_LOCATIONS,ANNUAL_REVENUE,PARTNERSHIP,BILLING_CITY,BUSINESS_TYPE,CUISINE,PAYMENT_PLAN,CHURN_DATE
sub_DrEsKGSzGeVY8c,Bad,,,FALSE,2,1908,US Foods,Durham,Restaurant,Italian,Monthly,
sub_9v5QwDtC6eCKxw,Neutral,,,FALSE,1,948,US Foods,Chesterfield,Restaurant,American (Traditional),Yearly,
sub_CxnZ3MZ3yUiKkl,Neutral,,8,FALSE,1,468,US Foods,Gatlinburg,Restaurant,Breakfast / Brunch,Monthly,
sub_Ex80Ee61q8OVBB,Neutral,neutral,,FALSE,1,468,US Foods,Bottineau,Restaurant,American (Traditional),Monthly,
sub_FCRzU6Q8CjgjgL,Neutral,positive,,FALSE,1,1188,US Foods,Los Angeles,Restaurant,Fast Food,Monthly,
sub_ADRThXK20WmBpg,Good,neutral,,FALSE,1,1908,US Foods,Otsego,Restaurant,Other,Monthly,
sub_EqfyKaMCU1ZgxB,Neutral,neutral,,FALSE,1,2388,,New York,Restaurant,Coffee,Monthly,
sub_DWRSxA3XnDQmAw,Neutral,,,TRUE,1,1428,,West Haven,Restaurant,Pizza,Monthly,
sub_B65e3rgFsErtj5,Neutral,positive,,FALSE,1,2016,,Burlingame,Restaurant,Pizza,Monthly,
sub_9kweUy0SQi380W,Neutral,,,FALSE,1,2388,,Waltham,Restaurant,American (New),Monthly,
sub_EOx49EWXdxygSU,Neutral,,8,FALSE,1,2388,,Union Pier,Restaurant,Italian,Monthly,
sub_BDzsd0sW5z2SJN,Neutral,,,FALSE,1,468,US Foods,Long Branch,Restaurant,Deli / Sandwiches,Monthly,
sub_CIKWwo1qQUWPwV,Neutral,,,FALSE,1,468,US Foods,Banner Elk,Restaurant,Steakhouse,Monthly,
sub_Bg5tvuUIyWgF11,Neutral,,,FALSE,8,1908,US Foods,West Palm Beach,Restaurant,Barbecue,Monthly,
sub_CHt2umL954PcAt,Neutral,,,FALSE,3,2388,,New York,Catering,American (New),Monthly,
sub_9vVspgm0kMNGFB,Neutral,,3,FALSE,1,1428,,Brooklyn,Restaurant,French,Monthly,
sub_EQZLJRX5LCbads,Neutral,,,FALSE,1,2388,,Edmond,Restaurant,Bar - Traditional,Monthly,
sub_DgoyVLQWXa8JoP,Neutral,,,FALSE,1,1188,US Foods,Kissimmee,Restaurant,Deli / Sandwiches,Monthly,
sub_CzjXVg3xKdIylc,Neutral,neutral,,FALSE,1,1428,,Everett,Restaurant,Korean / Vietnamese,Monthly,
sub_BtUkI9NJgl4hGx,Neutral,,,FALSE,1,948,US Foods,Charlottesville,Restaurant,Mexican,Monthly,
sub_97e14ucylVgjXc,Neutral,,,FALSE,1,1188,,Nashville,Bar,Bar - Traditional,Yearly,
sub_C3IEnfRPjM9Zyi,Neutral,,10,FALSE,2,4548,,Myrtle Beach,Brewery / Winery,Bar - Traditional,Monthly,
sub_Fex7GINgW4kFca,,,,FALSE,1,,US Foods,Texarkana,Deli,Deli / Sandwiches,Monthly,
sub_FZddSlkoOrFnSk,,neutral,,FALSE,,,US Foods,Columbia,Restaurant,Sushi,,
sub_Byqc3xC3kkvgkK,Neutral,,,FALSE,1,948,US Foods,Grand Island,Bar,Bar - Traditional,Monthly,
sub_9mOGNJU8LWeAPa,Good,,,FALSE,1,1188,,New York,Nightclub / Lounge,Bar - Traditional,Yearly,
sub_EpefcfdEJEilgH,Neutral,,,FALSE,1,1428,,Denver,,,Monthly,
sub_EG3YOQWOgfa01h,Neutral,,,FALSE,1,2016,,Cambridge,Bakery / Confectionary,Baked Goods / Confections,Monthly,
sub_BYtCDaqnWaBBzX,Good,neutral,,FALSE,1,1188,,Oxon Hill,Restaurant,Steakhouse,Yearly,
sub_EEZG0RFAU7nNss,Neutral,,,FALSE,1,2388,,Fort Lauderdale,Restaurant,Seafood,Monthly,
sub_Dg31rLmlRRICmk,Neutral,,10,FALSE,1,2976,,Hoboken,Restaurant,American (New),Monthly,
sub_AnqnJ8OlbJwBon,Neutral,neutral,,FALSE,1,2388,,Austin,Restaurant,Salad,Monthly,
sub_FK0TwLkVtWrQZK,Good,neutral,,FALSE,2,4056,,San Francisco,Restaurant,Barbecue,Monthly,
sub_Brj7lZ3oQB4YJp,Neutral,neutral,,FALSE,1,1908,US Foods,Chester Springs,Restaurant,American (New),Monthly,
sub_CxRBLUMhZR3a4h,Good,neutral,,FALSE,3,5136,US Foods,Watertown,Butcher,American (New),Monthly,
sub_ETZCmweYWZlrZL,Neutral,,,FALSE,2,2388,,New York,Cafe / Coffee Shop,Vegetarian / Vegan / Gluten-Free / Healthy / Organic,Monthly,
sub_DGaFFz6HOzNzMm,Neutral,positive,,FALSE,1,2388,,Destin,Cafe / Coffee Shop,American (Traditional),Monthly,
sub_EguYkiAWlo9SrD,Neutral,,,FALSE,1,1908,US Foods,Newport News,Restaurant,American (New),Monthly,
sub_ECQ3uBlQFm0RQH,Neutral,positive,,FALSE,1,1188,US Foods,Atlanta,Restaurant,American (New),Monthly,
sub_ECGEMaH34duJr0,Good,,,FALSE,1,1908,US Foods,Brunswick,Restaurant,American (New),Monthly,
sub_FplNAS38o0Sr03,Good,,7,FALSE,,0,,Batavia,Restaurant,American (Traditional),Monthly,2018-02-19 00:00:00.000 +0000
sub_E70d8HmYRVBl1L,Neutral,,,FALSE,1,2388,,Palo Alto,Restaurant,American (New),Monthly,
sub_FRY5zdAfH5R9g4,Good,,,FALSE,1,2388,,Clearwater Beach,Restaurant,Asian,Monthly,
sub_FFsVVYAAjxyGnh,Neutral,,,FALSE,1,1908,US Foods,Lacon,Restaurant,Pizza,Monthly,
sub_CCFHyKxxyKLHt4,Neutral,neutral,,FALSE,2,3948,,New York,Restaurant,Island / Caribbean / Hawaiian,Monthly,
sub_EzJUBd4eRiYnuc,Neutral,,,FALSE,1,1908,US Foods,POQUOSON,Restaurant,Seafood,Monthly,
sub_FOoPjmu8bGR4gl,,,,TRUE,1,1188,US Foods,Las Vegas,Restaurant,Southern / Creole,Monthly,
sub_E9jHBkqLzg9Gy4,Neutral,,,FALSE,1,2388,,London,Restaurant,American (Traditional),Monthly,
